,基础属性部分,,,,,,,,,,,,,,,
名称,NO.,心级,类型,华丽,简约,优雅,活泼,成熟,可爱,性感,清纯,清凉,保暖,标签,标签,获取途径
蝴蝶结头饰·红,001,3,头饰,A,,,A,,A,,S,S,,,,3-3少
蝴蝶结头饰·粉,002,3,头饰,A,,,A,,S,,S,S,,,,定001
蝴蝶结头饰·黄,003,3,头饰,A,,,S,,A,,A,A,,,,定001
花朵发箍·蓝,004,3,头饰,,S,,A,,A,,S,A,,,,店/迷幻
花朵发箍·粉,005,3,头饰,,A,,A,,A,,A,A,,,,定004
方巾·粉,006,2,头饰,,A,B,,,S,,A,A,,,,店/迷/6-3少
方巾·蓝,007,2,头饰,,A,,B,,S,,S,A,,,,店/迷
方巾·黄,008,1,头饰,,B,,B,,S,,A,A,,,,店/迷
樱桃蜜语·粉,009,4,头饰,,A,,S,,A,,S,S,,,,迷幻
樱桃蜜语·黄,010,4,头饰,,S,,S,,A,,S,S,,,,定009
樱桃蜜语·紫,011,4,头饰,,A,,S,,S,,S,S,,,,定009
皮质手套,012,2,手饰*双,,A,,S,A,,A,,,A,中性风,摇滚风,店/迷
时间观念,013,1,手饰*左,,S,A,,B,,,C,A,,中性风,英伦,店/迷
朋克手镯,014,1,手饰*右,,A,A,,A,,,C,S,,中性风,,店/迷
黑白腕带,015,1,手饰*双,,B,,A,,A,,B,,A,中性风,,成就
趣味帽,016,3,头饰,,A,,S,,S,A,,,A,中性风,防晒,成就
戒备时刻,017,2,特殊*脸部,,S,,B,A,,,B,S,,中性风,防晒,店/迷
星星项链,018,3,颈饰*项链,,S,B,,,S,,A,S,,中性风,,成就
白喵耳饰,019,4,头饰,S,,,S,,S,,A,S,,小动物,,迷
金喵耳饰,020,4,头饰,A,,,S,,S,,A,S,,小动物,,定019
花喵耳饰,021,4,头饰,A,,,S,,S,,S,S,,小动物,,定019
白喵手套,022,4,手饰*双,,SS,S,,,S,,S,,S,小动物,,迷
金喵手套,023,4,手饰*双,,S,A,,,S,,S,,S,小动物,,定022
花喵手套,024,4,手饰*双,,A,,A,,SS,,S,,S,小动物,,定022
白喵尾,025,4,特殊*尾部,S,,,S,,S,,B,S,,小动物,,迷
金喵尾,026,4,特殊*尾部,S,,,S,,SS,A,,S,,小动物,,定025
花喵尾,027,4,特殊*尾部,S,,,S,,S,A,,S,,小动物,,定025
摘星·红,028,5,头饰,S,,,A,,S,,S,A,,,,迷
摘星·青,029,5,头饰,S,,,A,,SS,,S,A,,,,定028
摘星·蓝,030,5,头饰,S,,,S,,SS,,S,S,,,,定028
泰迪王子·棕,031,5,头饰,S,,,S,,S,,S,S,,小动物,,迷
泰迪王子·白,032,5,头饰,SS,,,S,,S,,S,S,,小动物,,定031
泰迪王子·黑,033,5,头饰,S,,,S,,A,,S,S,,小动物,,定031
