,基础属性部分,,,,,,,,,,,,,,,
名称,NO.,心级,,华丽,简约,优雅,活泼,成熟,可爱,性感,清纯,清凉,保暖,标签,标签,获取途径
随性短裤·蓝,001,2,,,A,,B,,A,,A,A,,牛仔布,,迷/5-2少
随性短裤·粉,002,2,,,A,,A,,A,,A,A,,牛仔布,,定001
随性短裤·米,003,2,,,B,,A,,A,,A,A,,牛仔布,,定001
格调短裙·棕,004,4,,,S,,S,,A,,S,A,,英伦,,店/迷幻
格调短裙·蓝,005,4,,,B,A,,,S,,S,S,,英伦,,定004
格调短裙·红,006,4,,,B,S,,,S,,S,S,,英伦,,定004
格调短裙·绿,007,4,,,B,S,,,S,,S,S,,英伦,,定004
高腰短裤,008,3,,,S,S,,C,,,S,S,,中性风,,店/迷幻
樱蕊,009,3,,A,,,S,,A,,B,S,,,,设计图
雪蕊,010,3,,S,,,A,,A,,B,S,,,,定009
大喵背带裙·蓝,011,3,,,S,,A,,A,,A,A,,小动物,牛仔布,设计图
大喵背带裙·棕,012,3,,,A,,A,,S,,A,A,,小动物,牛仔布,定011
大喵背带裙·黑,013,3,,,A,,A,,S,,S,A,,小动物,牛仔布,定011
大喵背带裙·白,014,3,,,A,,A,,A,,S,A,,小动物,牛仔布,定011
蓝贞·裙,015,3,,A,,A,,,S,,S,,A,洛丽塔,,设计图
樱宁·蓬裙,016,3,,A,,A,,,S,,S,,A,洛丽塔,,设计图
小飞侠·中裤,017,4,,S,,,A,,S,,S,,A,洛丽塔,,店/迷幻
夏蝉裙·粉,018,3,,,A,A,,,A,,S,A,,洛丽塔,,设计图
夏蝉裙·黄,019,3,,,A,A,,,S,,A,,A,洛丽塔,,定018
甜心骑士·裙,021,4,,S,,A,,,A,,S,,A,洛丽塔,,店/迷幻
天真背带裤,022,4,,B,,,SS,,SS,,C,S,,,,兑换
暗灰牛仔,023,3,,B,,,A,S,,,B,,S,牛仔布,,店/迷幻
牛仔七分裤,024,3,,,S,B,,,A,,B,,SS,牛仔布,,定023
米色七分裤,025,3,,,S,,B,,A,A,,,S,牛仔布,,定023
爱心靴裤·蓝,026,4,,,S,,S,,S,,A,,S,防晒,,设计图
爱心靴裤·紫,027,4,,,S,,S,,S,,A,,S,防晒,,定026
爱心靴裤·白,028,4,,,S,,S,,A,,S,,A,防晒,,定026
珍珠纱裙·紫,030,4,,S,,,A,,A,S,,S,,,,店/迷幻
珍珠纱裙·蓝,031,4,,,S,,A,,A,,S,S,,,,定030
火箭背带裤,032,4,,S,,,S,,S,,A,A,,POP,牛仔布,迷幻
黑色短裤,036,3,,,S,,A,,B,,S,B,,中性风,,4-4少
暗恋故事·蓝,037,2,,,B,,S,,A,,B,A,,中性风,牛仔布,店/迷/4-11少
暗恋故事·粉,038,2,,,A,,S,,A,,B,A,,中性风,牛仔布,定037
暗恋故事·紫,039,2,,,A,S,,,B,,A,A,,中性风,牛仔布,定037
暗恋故事·黑,040,2,,,A,A,,,A,,A,A,,中性风,牛仔布,定037
周游世界·蓝,041,3,,,A,,S,,A,,S,,A,牛仔布,防晒,设计图
周游世界·黑,042,3,,,A,,S,,B,,S,,A,牛仔布,防晒,定041
周游世界·灰,043,3,,,A,,A,,A,,S,,A,牛仔布,防晒,定041
周游世界·白,044,3,,,S,,S,,A,,A,,A,牛仔布,防晒,定041
裁缝班·卡其,045,1,,,S,,B,C,,,A,A,,中性风,英伦,迷/1-2少
裁缝班·棕,046,1,,,B,,B,A,,,B,B,,中性风,英伦,定045
裁缝班·军绿,047,1,,,S,,B,A,,,A,A,,中性风,英伦,定045
乐队主唱,048,2,,,S,A,,A,,B,,,A,中性风,防晒,店/迷
经典牛仔裤,049,2,,,S,,S,B,,,C,,A,中性风,牛仔布,迷/3-5少
线脚创意,050,2,,,A,C,,A,,,S,,A,牛仔布,中性风,定049
