,基础属性部分,,,,,,,,,,,,,,,
名称,NO.,心级,,华丽,简约,优雅,活泼,成熟,可爱,性感,清纯,清凉,保暖,标签,标签,获取途径
风度·蓝,001,2,,,A,,A,,A,A,,A,,牛仔布,,设计图/4-6少
风度·红,002,2,,,A,,A,,A,S,,A,,牛仔布,,定001
风度·棕,003,2,,,S,,S,,A,S,,A,,牛仔布,,定001
特级助手·外套,004,3,,S,,,A,,S,,S,,A,中性风,,设计图
樱花雨衣,005,3,,,S,,S,,A,,A,A,,雨季装备,,设计图
针织背心·蓝,008,2,,,S,B,,,A,,A,,B,中性风,英伦,店/迷/3-3少
针织背心·棕,009,2,,,S,,B,,A,,A,,A,中性风,英伦,定008
针织背心·粉,010,2,,,A,B,,,A,,S,,S,中性风,英伦,定008
精英马甲,011,3,,,S,A,,A,,A,,,S,中性风,,迷/幻
茵萝,012,2,,,S,,A,,C,,A,A,,中性风,,店/5-3少
藕萝,013,2,,,S,B,,A,,,A,B,,中性风,,定012
妃萝,014,2,,,S,,S,B,,,A,B,,中性风,,定012
棒球衫·黑,015,3,,,S,,A,,A,,A,,S,中性风,,设计图
棒球衫·蓝,016,3,,,S,,S,,B,,S,,A,中性风,,定015
罗兰诗,017,4,,,S,A,,S,,S,,S,,中性风,,迷/幻
蔷薇花园,018,5,,S,,S,,,S,,S,,S,洛丽塔,,过关有礼
蒸汽朋克,019,5,,S,,,A,,B,S,,SS,,欧式古典,,兑换
贵妇披风,020,4,,S,,S,,S,,,B,,S,欧式古典,,幻
音学园·墨,021,3,,,S,,A,,A,,A,,S,学院系,防晒,设计图
音学园·蓝,022,3,,,A,,A,,S,,A,,S,学院系,防晒,定021
音学园·白,023,3,,,A,,A,,A,,S,,A,学院系,防晒,定021
画家·妃,024,4,,,S,S,,A,,,S,,S,防晒,,设计图
画家·青,025,4,,,S,S,,,B,,SS,,S,防晒,,定024
画家·红,026,4,,,S,,S,,C,,S,,S,防晒,,定024
画家·白,027,4,,,S,S,,,C,,SS,,S,防晒,,定024
短款外套·灰,028,3,,,S,A,,S,,,A,,A,中性风,OL,店/迷/幻
短款外套·米,029,3,,,A,A,,S,,,A,,A,中性风,OL,定028
短款外套·橙,030,3,,,A,S,,S,,,A,,A,中性风,OL,定028
短款外套·蓝,031,3,,,A,S,,A,,A,,,A,中性风,OL,定028
职场佳丽,032,3,,,S,S,,A,,A,,,A,OL,,店/迷/幻
卡布奇诺,033,3,,,S,B,,B,,,S,,S,英伦,,设计图
彩蝶,034,4,,,S,B,,,S,,S,,S,和风,,设计图
巫女的短衣,035,4,,S,,S,,B,,,S,,S,和风,,设计图
牛仔小妞,036,3,,,S,,A,B,,S,,S,,侠客联盟,,迷/幻/5-6公
牛仔风情,037,4,,S,,,S,S,,A,,S,,侠客联盟,,进036
苍墨,038,3,,,A,S,,S,,,A,,C,,,店
剪裁T恤,039,3,,,S,,S,C,,S,,S,,摇滚风,,1-8少
叛逆,040,4,,S,,,S,,S,S,,,B,摇滚风,,设计图
暖茸,041,3,,,S,,A,,A,,S,,S,森女系列,,迷/幻/3-10公
暖茸·华丽,042,4,,S,,,S,,A,,S,,A,森女系列,,进041
告白,044,4,,,A,,S,,A,S,,,S,森女系列,,店/迷/幻
粉翼·珍稀,045,5,,S,,,A,,S,,S,S,,中式古典,舞者,进056
紫翼·珍稀,046,5,,S,,B,,,SS,,SS,S,,中式古典,舞者,定045
荧珑,047,3,,A,,,S,,S,,S,A,,童话系,,迷/幻/4-1公
荧珑·华丽,048,5,,S,,,S,,S,,SS,S,,童话系,,进047
袄裙兰罩,049,4,,A,,S,,,A,,S,,S,中式古典,,迷
彼岸花,050,3,,S,,,A,,A,A,,S,,和风,,迷/幻/2-8公
彼岸花·华丽,051,4,,S,,A,,,B,S,,,S,和风,,进050/迷/幻
