,基础属性部分,,,,,,,,,,,,,,,
名称,NO.,心级,,华丽,简约,优雅,活泼,成熟,可爱,性感,清纯,清凉,保暖,标签,标签,获取途径
白翩语,001,2,,,A,A,,A,,,A,A,,女神系,,店/迷
夜阑珊,002,2,,A,,A,,A,,A,,A,,女神系,,定001
香槟,003,3,,,A,B,,B,,,S,S,,女神系,,3-8少
白莲,004,3,,,A,S,,C,,,A,A,,女神系,,定003
白雪喵星人,006,4,,,S,,S,,S,,S,A,,,,迷
虎皮喵星人,008,4,,,A,,A,,S,,S,A,,,,定006
童话星辰,009,5,,A,,,A,,S,,S,S,,洛丽塔,,迷
风谷星辰,010,5,,S,,,A,,SS,,S,S,,洛丽塔,,定009
仲夏星辰,011,5,,A,,,S,,SS,,S,S,,洛丽塔,,定009
巧克力泰迪,012,5,,SS,,,A,,S,,S,S,,洛丽塔,小动物,迷
糖果泰迪,013,5,,S,,,S,,A,,S,S,,洛丽塔,小动物,定012
棉花糖泰迪,014,5,,A,,,S,,S,,SS,S,,洛丽塔,小动物,定012
魔域筝灵,015,3,,S,,,C,,S,A,,S,,洛丽塔,哥特风,设计图
神域筝灵,016,3,,A,,,C,,S,,S,S,,洛丽塔,,定015
雪域筝灵,017,3,,A,,,A,,S,,A,A,,洛丽塔,,定015
烈火女神,019,4,,S,,S,,A,,,S,,S,欧式古典,,店/迷/幻
月桂女神,020,4,,A,,S,,A,,,S,,A,欧式古典,,定019
玫瑰长裙,021,4,,S,,S,,A,,B,,S,,欧式古典,女神系,店/迷/幻
铃兰长裙,022,4,,S,,B,,S,,A,,S,,欧式古典,女神系,定021
红女巫,024,5,,S,,SS,,S,,S,,,A,欧式古典,,迷/幻
安琪儿,025,3,,S,,,A,,S,,S,B,,欧式古典,,设计图
小白雪公主,026,4,,S,,B,,,S,S,,S,,欧式古典,童话系,店/迷/幻
格蕾雅·红酒,027,4,,,S,,A,,S,,S,,S,围裙,,店/迷/幻
格蕾雅·果派,028,4,,,A,,S,,S,,A,,A,围裙,,定027
圆桌女皇,029,4,,A,,SS,,A,,A,,,S,欧式古典,,vip
雅典娜铠甲·紫,030,3,,A,,S,,A,,A,,,A,欧式古典,,店/幻
雅典娜铠甲·黄,031,3,,A,,S,,A,,A,,,A,欧式古典,,定030
高腰娃娃裙·粉,032,4,,S,,S,,,S,,A,,B,欧式古典,,店/迷/幻
高腰娃娃裙·蓝,033,4,,S,,SS,,S,,S,,B,,欧式古典,,定032
白橄榄素裙,034,3,,A,,S,,B,,,S,,A,,,迷/幻
蝴蝶结之梦·黄,035,3,,A,,A,,A,,,A,C,,欧式古典,,店/迷/幻
蝴蝶结之梦·粉,036,3,,A,,A,,,A,,A,C,,欧式古典,,定035
扬舞·蓝,037,5,,S,,S,,,A,S,,S,,欧式古典,,设计图
扬舞·黄,038,5,,SS,,S,,,S,SS,,S,,欧式古典,,定037
扬舞·粉,039,5,,S,,,B,,SS,S,,S,,欧式古典,,定037
星光曲·紫,040,4,,S,,S,,S,,A,,S,,欧式古典,晚礼服,设计图
星光曲·绿,041,4,,S,,A,,S,,S,,S,,欧式古典,晚礼服,定040
星河曲·白,042,4,,S,,S,,S,,A,,S,,欧式古典,晚礼服,定040
秋沉灵,044,2,,,A,,A,,A,B,,A,,围裙,,店/迷
冬霜雪,045,2,,,A,,A,,A,A,,A,,围裙,,定044
春繁花,046,2,,,A,,B,,A,A,,A,,围裙,,定044
夏艳燃,047,2,,,A,,A,,A,A,,A,,围裙,,定044
老师衣橱·蓝,048,2,,,A,A,,,B,,S,S,,,,店/迷/10-8少/3-9少
老师衣橱·紫,049,2,,,S,A,,,B,,S,A,,,,定048
老师衣橱·青,050,2,,,A,A,,,B,,S,A,,,,定048
方片情人·红,051,3,,,S,S,,A,,A,,A,,,,设计图
方片情人·蓝,052,3,,A,,B,,S,,A,,A,,,,定051
