名称,NO.,编号,心级,华丽,简约,优雅,活泼,成熟,可爱,性感,清纯,清凉,保暖,标签,标签,获取途径,分类号,分类,部位
默认粉毛,001,10001,2,,S,,A,,A,,A,,A,,,系统送,10,发型,发型
运动少年,004,10004,3,,S,,A,,A,,S,A,,中性风,,店/迷/幻,10,发型,发型
不羁,005,10005,3,,S,,A,,A,,A,S,,中性风,,定004,10,发型,发型
全民偶像,006,10006,3,,A,,S,,S,,B,S,,中性风,,定004,10,发型,发型
眷雅公子,007,10007,2,,B,,A,,S,,B,S,,中性风,,迷/3-2少,10,发型,发型
邻家哥哥,008,10008,2,,S,,S,A,,,C,A,,中性风,,定007,10,发型,发型
雪狼,009,10009,2,A,,A,,C,,S,,A,,中性风,,定007,10,发型,发型
完美学长,010,10010,2,,S,,B,,A,,A,A,,中性风,,店/迷/5-5少,10,发型,发型
神秘来客,011,10011,2,,S,A,,A,,,A,A,,中性风,,定010,10,发型,发型
奇幻使者,012,10012,2,,S,,S,,A,,C,S,,中性风,,定010,10,发型,发型
科学家,013,10013,2,,S,B,,,A,,C,S,,中性风,,店/迷/3-1少,10,发型,发型
咖啡店主,014,10014,2,,S,S,,,A,,C,A,,中性风,,定013,10,发型,发型
银翼侠,016,10016,3,A,,,S,S,,A,,S,,中性风,,店/迷/幻,10,发型,发型
浅慵,017,10017,3,,A,B,,,S,,S,A,,,,设计图/迷,10,发型,发型
金灿,018,10018,3,A,,,A,,S,A,,A,,,,定017,10,发型,发型
酒红,019,10019,3,S,,C,,,S,A,,S,,,,定017,10,发型,发型
粉白卷发,020,10020,5,SS,,,S,,A,B,,,SS,,,迷,10,发型,发型
金米卷发,021,10021,5,S,,S,,,A,,A,,S,,,定020,10,发型,发型
黑蓝卷发,022,10022,5,S,,S,,S,,S,,,S,,,定020,10,发型,发型
小熊·棕,023,10023,3,,A,,S,,A,,S,A,,,,迷,10,发型,发型
小熊·粉,024,10024,3,,A,,S,,A,,S,,A,,,定023,10,发型,发型
小熊·黑,025,10025,3,,A,A,,A,,,S,,A,,,定023,10,发型,发型
翘筝·蓝,026,10026,5,A,,SS,,SS,,S,,S,,,,设计图,10,发型,发型
翘筝·灰,027,10027,5,S,,SS,,A,,,B,S,,,,定026,10,发型,发型
翘筝·白,028,10028,5,SS,,S,,S,,A,,S,,,,定026,10,发型,发型
翘筝·金,029,10029,5,S,,A,,,A,,S,S,,,,定026,10,发型,发型
拜占庭之歌·红,030,10030,3,S,,A,,A,,A,,,A,,,迷/幻,10,发型,发型
拜占庭之歌·黄,031,10031,4,S,,S,,S,,,S,,A,,,定030,10,发型,发型
冰雪战士,032,10032,2,,S,B,,,B,A,,A,,中性风,,迷/2-3少,10,发型,发型
萌系正太,033,10033,2,,S,,A,,A,,A,A,,中性风,,定032,10,发型,发型
秋枫,034,10034,2,,S,C,,,A,,A,A,,中性风,,定032,10,发型,发型
蔷薇少女·金,035,10035,4,B,,B,,,S,,SS,,S,,,过关有礼/套装成就/成就,10,发型,发型
蔷薇少女·粉,036,10036,4,B,,A,,,SS,S,,,S,,,定035,10,发型,发型
蔷薇少女·银,037,10037,4,,A,S,,A,,,S,,A,,,定035,10,发型,发型
蔷薇少女·墨,038,10038,4,,A,S,,,S,,S,,A,,,定035,10,发型,发型
维多利亚,039,10039,5,S,,S,,,S,S,,S,,大小姐,,兑换,10,发型,发型
雏莺·苍绿,040,10040,5,A,,SS,,,B,,SS,,S,,,幻,10,发型,发型
雏莺·红,041,10041,5,A,,SS,,,B,S,,,S,,,定040,10,发型,发型
贵妇人,042,10042,4,,A,S,,S,,S,,S,,欧式古典,,幻,10,发型,发型
精灵·金,043,10043,5,SS,,SS,,,B,,A,,B,,,设计图,10,发型,发型
精灵·白,044,10044,5,S,,SS,,S,,S,,,B,,,定043,10,发型,发型
俏马尾,046,10046,3,,S,A,,,A,,B,S,,,,设计图,10,发型,发型
魏紫,048,10048,3,,A,,S,S,,A,,C,,,,定046,10,发型,发型
赵粉,049,10049,3,,A,,A,,S,A,,,A,,,定046,10,发型,发型
无忧,050,10050,3,,S,A,,,B,,A,A,,,,迷/幻,10,发型,发型
无忧·妃,051,10051,3,,A,S,,,A,,S,,A,,,定050,10,发型,发型
无忧·黑,052,10052,3,,S,B,,,B,,S,,S,,,定050,10,发型,发型
向阳花,053,10053,4,C,,,SS,,SS,,S,B,,,,迷/幻/成就,10,发型,发型
米花蝶,054,10054,4,B,,,S,,A,,SS,B,,,,定053,10,发型,发型
童心,055,10055,4,,S,A,,,B,,S,S,,,,定053,10,发型,发型
青葱岁月,056,10056,4,,S,S,,,B,,A,,S,,,迷/幻,10,发型,发型
云端舞娘,057,10057,5,SS,,A,,SS,,,A,,B,中式古典,舞者,店,10,发型,发型
轻音尘,058,10058,5,S,,,S,,S,,S,,B,,,幻,10,发型,发型
琉光曲,059,10059,5,S,,,A,,SS,,S,,S,,,定058,10,发型,发型
窈窕淑女·黑,060,10060,4,,S,SS,,,C,,S,,A,,,迷/幻,10,发型,发型
