,,,,,,惩罚tag,加分tag,,,,,
1-1,简约,可爱,活泼,清纯,清凉,古典不可?,运动？,花瓣雨＊粉,,,,
,1,2,3,2,1,,,,,,,"'1-1': [1, 2, 3, 2, 1],"
1-2,简约,可爱,优雅,清纯,保暖,,居家不加分,,,,,
,3,1.5,3,3,1,,,,,,,"'1-2': [3, 1.5, 3, 3, 1],"
1-3,华丽,成熟,优雅,清纯,清凉,中式古典/中式现代/旗袍/民国服饰,仅中式古典,,,,,
,2,1,3,2,1,,,,,,,"'1-3': [2, 1, 3, 2, 1],"
1-4,简约,成熟,优雅,性感,保暖,要求ol实则未必,ol不加分,作曲家,,,,
,2,3,2,1,1,,,,,,,"'1-4': [2, 3, 2, 1, 1],"
1-5,华丽,可爱,活泼,性感,清凉,,,,,,,
,1,3,2,2,1,,,,,,,"'1-5': [1, 3, 2, 2, 1],"
1-6,简约,可爱,优雅,清纯,清凉,,,川流,鸢尾短裙,,,
,2,1,2,3,1,,,,,,,"'1-6': [2, 1, 2, 3, 1],"
1-7,简约,成熟,优雅,清纯,清凉,中性风,中性风,律政佳人*金,白翩语,1.1?,,
,3,2,2,1,1,,,,,,,"'1-7': [3, 2, 2, 1, 1],"
1-8,华丽,成熟,优雅,性感,清凉,,,夜阑珊,,,,
,1,2,2,3,1,,,,,,,"'1-8': [1, 2, 2, 3, 1],"
1-9,华丽,成熟,活泼,性感,清凉,,,,,1.2?,,
,1,2,2,3,1,,,,,,,"'1-9': [1, 2, 2, 3, 1],"
2-1,华丽,可爱,活泼,清纯,清凉,要求童话系实则未必,童话不加分,锦心,,,,
,2,3,1,2,1,,,,,,,"'2-1': [2, 3, 1, 2, 1],"
2-2,简约,可爱,活泼,清纯,保暖,,,默认粉毛,,,,
,3,1,2,2,1,,,,,,,"'2-2': [3, 1, 2, 2, 1],"
2-3,简约,成熟,优雅,性感,保暖,要求ol实则未必,ol不加分,作曲家,,,,
,2,2,3,1,1,,,,,,,"'2-3': [2, 2, 3, 1, 1],"
2-4,简约,可爱,活泼,清纯,保暖,,,默认粉毛,,,,
,1,2,1,2,3,,,,,,,"'2-4': [1, 2, 1, 2, 3],"
