,基础属性部分,,,,,,,,,,,,,,,
名称,NO.,心级,类型,华丽,简约,优雅,活泼,成熟,可爱,性感,清纯,清凉,保暖,标签,标签,获取方式
暮雪,001,3,袜子,A,,,A,,S,,S,,S,,,店/迷/幻
心云暖袜·蓝,002,3,袜子,S,,,A,,A,,A,,S,碎花,,定001
心云暖袜·粉,003,3,袜子,A,,,A,,S,,A,,S,碎花,,定001
心云暖袜·白,004,3,袜子,A,,,A,,A,,S,,A,碎花,,定001
天真半筒袜,005,2,袜子,A,,,A,,A,,A,,A,,,店/迷
学生棉袜·蓝,006,2,袜子,,B,,A,,S,,A,B,,中性风,英伦,店/迷/5-6少
学生棉袜·棕,007,2,袜子,,A,,A,,A,,A,B,,中性风,英伦,定006
英伦格·棕,008,4,袜子,S,,B,,,B,,SS,,S,中性风,英伦,设计图
英伦格·白,009,4,袜子,A,,S,,,S,,S,,S,中性风,英伦,定008
英伦格·蓝,010,4,袜子,A,,,S,,A,,S,,A,中性风,英伦,定008
英伦格·粉,011,4,袜子,S,,S,,B,,,S,,S,中性风,英伦,定008
白喵物语,012,4,袜子,S,,,S,,A,,B,,SS,,,迷
金喵物语,013,4,袜子,S,,,S,,A,S,,,S,,,定012
花喵物语,014,4,袜子,A,,,A,,S,A,,,S,,,定012
蜜糖星,015,5,袜子,S,,A,,,SS,A,,,S,,,迷
薄荷星,016,5,袜子,S,,A,,,S,S,,,S,,,定015
墨夜星,017,5,袜子,S,,A,,,S,S,,,S,,,定015
泰迪足迹·棕,018,3,袜子,,A,,S,,A,,A,,A,,,迷
泰迪足迹·蓝,019,3,袜子,,A,,S,,S,,A,,A,,,定018
泰迪足迹·黑,020,3,袜子,,A,,S,,A,,A,,A,,,定018
蔷薇枝蔓,021,4,袜子,A,,A,,,S,,S,,A,,,过关有礼
机械态度,022,5,袜子,S,,S,,,A,S,,,S,欧式古典,,兑换
轻熟心情,023,5,袜子,S,,,A,,A,SS,,,S,欧式古典,,迷/幻
黑色条纹,024,2,袜子,,A,A,,,B,A,,,S,,,店/迷/2-8少/10-2少
灰白条纹,025,2,袜子,,A,S,,C,,,S,A,,,,定024
粉白条纹,026,2,袜子,,A,,B,,S,,A,A,,,,定024
蓝白条纹,027,2,袜子,,A,S,,,A,,A,B,,,,定024
点点花·粉,028,3,袜子,A,,,A,,S,,A,A,,,,设计图
点点花·黄,029,3,袜子,A,,,A,,S,,S,A,,,,定028
点点花·紫,030,3,袜子,A,,,A,,A,,S,A,,,,定028
点点花·蓝,031,3,袜子,A,,,A,,A,,S,A,,,,定028
冬日棉袜·米,032,3,袜子,A,,,A,,S,,S,,A,,,店/迷/幻
冬日棉袜·蓝,033,3,袜子,A,,,A,,S,,S,,S,,,定032
冬日棉袜·粉,034,3,袜子,S,,,A,,S,,S,,A,,,定032
低调长袜,035,2,袜子,,A,S,,A,,A,,A,,OL,,2-6少
协奏曲,036,2,袜子,,A,S,,,C,,S,,A,,,店/迷
护士袜,037,3,袜子,,A,A,,,S,,A,A,,医务使者,,店
轩和,038,3,袜子,,S,A,,S,,,A,,A,和风,,3-4少
落花,039,3,袜子,,S,B,,,S,,S,,S,和风,,店
香草奶昔,040,3,袜子,A,,,A,,S,,S,,A,女仆装,,迷/幻/5-2公
香草奶昔·华丽,041,4,袜子,A,,,A,,A,,S,,S,女仆装,,进040/迷/幻
香草奶昔·珍稀,042,5,袜子,S,,,S,,S,,B,,SS,女仆装,,进041
海上花,043,3,袜子,S,,S,,A,,A,,,C,中式现代,,迷/幻/飘渺/5-4公
海上花·华丽,044,4,袜子,S,,SS,,S,,S,,,C,中式现代,,进043/迷/幻
海上花·珍稀,045,5,袜子,SS,,SS,,S,,S,,,B,中式现代,,进044
野性,046,3,袜子,S,,,S,A,,A,,A,,摇滚风,,店
森系袜套,047,4,袜套,,A,,A,,S,,S,,S,森女系列,,店
麋鹿暖袜,048,4,袜子,A,,,A,,A,,S,,A,森女系列,,店
爱丽丝之袜,049,4,袜子,,S,,S,,S,,A,,S,,,迷/幻
吸血花蕊,050,4,袜子,,B,A,,S,,S,,S,,,,店/迷/幻
维多利亚的秘密,051,4,袜子,B,,,B,S,,S,,SS,,哥特风,OL,店/迷/幻
女王的诱惑,052,3,袜子,A,,A,,A,,S,,A,,哥特风,,兑换
月下骑士,053,5,袜子,S,,SS,,S,,S,,,B,童话系,,迷/幻
吊带网袜,054,4,袜子,S,,B,,S,,SS,,S,,,,店/迷/幻
魔花,055,4,袜子,B,,S,,S,,S,,,S,哥特风,,设计图
人偶,056,4,袜子,,A,S,,A,,S,,,A,哥特风,OL,店/迷/幻
过膝学生袜,057,2,袜子,,A,S,,B,,,A,,A,,,店/迷
学生运动袜,058,1,袜子,,B,,A,,B,,A,,A,英伦,,店/迷
爱心泡泡,059,3,袜子,A,,,A,,A,,A,,S,,,成就
甜心女仆袜,060,4,袜子,S,,,S,,S,S,,,S,女仆装,,店/迷/幻
小网袜,061,3,袜子,,S,,B,A,,S,,S,,摇滚风,,店/迷/幻
中网袜,062,3,袜子,,A,,A,S,,S,,S,,摇滚风,,店/迷/幻
大网袜,063,4,袜子,,S,B,,,S,S,,S,,摇滚风,,迷/幻
镂空花袜,064,4,袜子,S,,,S,,S,,S,B,,碎花,,店/迷/幻
镂空花打底裤,065,3,袜子,S,,,S,,S,,A,B,,碎花,,迷/幻
轻薄丝袜,066,2,袜子,,S,A,,A,,A,,C,,,,店
普通长袜,067,2,袜子,,S,A,,A,,A,,C,,,,定066
白色长袜,069,2,袜子,,A,A,,,A,,A,A,,,,定066
粉色条纹袜,083,3,袜子,B,,,S,,S,,S,A,,,,店
蓝色条纹袜,084,3,袜子,B,,,S,,S,,S,S,,,,定083
红色条纹袜,085,3,袜子,C,,,S,,S,,S,A,,,,定083
黄色条纹袜,086,3,袜子,C,,,A,,S,,S,A,,,,定083
设计师的生命,090,4,袜子,,S,,B,A,,SS,,,S,OL,,店/迷/幻
网眼蕾丝,091,4,袜子,S,,B,,B,,SS,,,S,OL,,店/迷/幻
网眼长袜,092,3,袜子,S,,B,,S,,A,,S,,,,成就
兰情·珍稀,093,5,袜子,SS,,S,,,A,SS,,,A,中式古典,,进102
紫兰情·珍稀,094,5,袜子,S,,A,,,B,S,,SS,,中式古典,,定093
泡沫,095,3,袜子,A,,,S,,S,,A,A,,童话系,,迷/幻/4-9公
泡沫·华丽,096,5,袜子,S,,,S,,S,,S,S,,童话系,,进095
枫晚,097,3,袜子,S,,,A,S,,A,,A,,,,迷/幻/4-8公
枫晚·华丽,098,4,袜子,SS,,A,,S,,S,,B,,,,进097/迷/幻
枫晚·珍稀,099,5,袜子,S,,A,,S,,S,,,A,,,进098
曼珠,100,3,袜子,A,,S,,B,,S,,,A,和风,,迷/幻
兰情,101,3,袜子,S,,A,,,S,S,,,C,,,迷/幻/6-2公
兰情·华丽,102,4,袜子,S,,A,,,S,SS,,,B,,,进101
雀黛,103,5,袜套,A,,SS,,A,,S,,S,,,,迷/幻
赤黛,104,4,袜子,S,,,S,,S,,B,,S,中式现代,,店/迷/幻/飘渺
童话故事,105,3,袜子,,A,,A,,S,,A,,S,童话系,洛丽塔,迷/幻/6-6公/3-6公
童话故事·华丽,106,4,袜子,,S,,S,,S,,S,S,,童话系,洛丽塔,进105/迷/幻
童话故事·珍稀,107,5,袜子,S,,,A,,S,,S,S,,童话系,洛丽塔,进106
薄荷叶,108,3,袜子,,A,,A,,A,,S,,A,,,迷/幻
绿茗,109,3,袜子,,A,,A,,S,,A,,A,,,迷/幻
学生棉袜,113,1,袜子,,B,,A,,A,,B,A,,,,店/迷
舞娘足饰,114,4,袜套,S,,A,,,SS,,B,S,,舞者,印度服饰,店
圣诞可可,115,4,袜子,A,,,S,,S,,A,,S,冬装,,店/迷/幻
暖枫糖,116,4,袜子,S,,,S,,S,,S,,A,冬装,,店/迷/幻
温糖水,117,4,袜子,S,,,A,,S,,S,,S,冬装,,店/迷/幻
巧克力奶泡,118,4,袜子,S,,B,,,S,,S,,S,,,店/迷/幻
公主的舞会,120,3,袜子,A,,,A,,A,,S,,S,,,迷/幻
裱花蕾丝·粉,121,3,袜子,A,,A,,,S,,S,,B,,,店
裱花蕾丝·蓝,122,3,袜子,S,,S,,,B,,S,,B,,,定121
裱花蕾丝·灰,123,3,袜子,S,,S,,,A,,B,,B,,,定121
甜食,132,3,袜子,B,,,A,,A,,S,,S,,,设计图
甜食·粉,133,3,袜子,C,,,A,,S,,S,,A,,,定132
甜食·紫,134,3,袜子,C,,,A,,S,,S,,S,,,定132
甜食·绿,135,3,袜子,C,,,A,,S,,S,,A,,,定132
幻夜,136,2,袜子,,A,A,,A,,A,,,A,,,店/迷
小盘子,137,3,袜子,,A,,A,,A,,S,,A,,,月签到奖励
漫游仙境,138,4,袜子,,A,,S,,S,,S,,A,童话系,,兑换
船锚筒袜,139,4,袜子,A,,,A,,S,,S,,S,,,迷
虔诚之花·袜,140,3,袜子,A,,,A,,S,,S,A,,,,店/迷/幻
少女学生袜,141,3,袜子,,A,,A,,S,,S,A,,英伦,,成就
甜奶油,142,3,袜子,,A,,A,,A,,S,,A,,,成就
皮革袜,143,4,袜子,S,,SS,,S,,A,,A,,英伦,,评选赛商店
糖果心·袜,144,3,袜子,,A,,A,,A,,S,,A,洛丽塔,,设计图
花意,145,5,袜子,,C,,B,,A,,A,,B,洛丽塔,,邀请好友赠送
星夜,146,5,袜子,A,,B,,,S,A,,,S,童话系,,迷/幻
锦绣云,147,5,袜子,SS,,B,,,A,S,,,B,中式现代,,月签到奖励
蛋糕曲奇,148,5,袜子,C,,B,,,B,B,,,B,,,v特权礼包赠送
粉色兔子,149,4,袜子,A,,,S,,S,,A,,S,小动物,,店/迷/幻
摇滚长袜·蓝,150,3,袜子,S,,,A,C,,S,,,S,摇滚风,,店/迷/幻
摇滚长袜·黑,151,3,袜子,S,,B,,,B,A,,,S,摇滚风,,定150
绅士礼仪·黑,156,2,袜子,,S,C,,S,,,A,A,,,,店
绅士礼仪·白,157,2,袜子,,S,C,,A,,,A,A,,,,定156
百花盛开,160,3,袜子,A,,,S,A,,,A,,A,碎花,,1-7少
老时光,161,3,袜子,,A,,S,A,,,A,,S,碎花,,迷/幻
复古心情,162,3,袜子,S,,S,,S,,C,,,S,,,店
铆钉袜圈,165,3,袜套,,A,,B,A,,S,,S,,摇滚风,,店/迷/幻
糕点脚印,166,3,袜子,,S,,A,,A,,A,,S,小动物,,迷/幻
蝴蝶长袜,167,3,袜子,,A,,A,,A,,A,,S,,,店/迷/幻
沁薇,169,4,袜子,A,,,S,,S,S,,,A,洛丽塔,,幻
绵绵,170,3,袜子,A,,,A,,S,,S,,C,婚纱,洛丽塔,活动
首席特助·袜,171,3,袜子,A,,S,,,B,,A,,S,洛丽塔,,店
洛可情结,172,4,袜子,S,,,S,,S,,S,,B,洛丽塔,,兑换
名门公子,173,4,袜子,,S,S,,A,,,A,,S,中性风,,设计图
星河袜圈,174,5,袜套,,C,C,,B,,B,,B,,,,开服登录7天活动赠送
蛋糕麻花,175,5,袜子,,B,S,,C,,,A,,S,,,首充礼包赠送
梦霜长袜,182,5,袜子,,A,A,,,A,S,,S,,,,迷
爱心长袜,183,2,袜子,,B,A,,S,,A,,B,,,,店
十字架踪迹,184,3,袜子,,S,B,,S,,S,,,S,,,店
普通大腿袜,185,2,袜子,,C,A,,S,,A,,,A,,,店
真·舞士,186,3,袜子,,S,B,,S,,S,,B,,,,店
梦恋园,201,5,袜子,,S,S,,,S,S,,,S,,,店
童真的雾,202,5,袜子,B,,,A,,S,,A,A,,,,店
黑色欲望,203,6,袜子,S,,S,,S,,SS,,S,,,,进204
雪白胴体,204,5,袜子,S,,S,,,A,A,,A,,,,设计图
香罗袜,205,3,袜子,S,,A,,,A,,A,A,,,,设计图
针织麻花袜,206,3,袜子,,S,,A,,B,,A,,S,民族风,,评选赛商店
灰点点,207,3,袜子,,A,,S,,S,,A,,B,,,7-支3少
丝云,208,3,袜子,S,,A,,,S,,B,,A,,,定207
及膝丝袜·黑,209,2,袜子,,B,S,,S,,,B,B,,,,7-3少
及膝丝袜·白,210,2,袜子,,A,S,,S,,,B,B,,,,定209
月涟漪,211,5,袜套,,S,SS,,S,,,S,A,,中式古典,,飘渺/翡翠
羊毛短袜,212,5,袜子,,SS,,A,,SS,,A,,A,,,元素重构
吊带短袜,213,4,袜子,A,,SS,,,SS,,A,,B,,,设计图
精灵腿环,214,3,袜套,A,,B,,S,,S,,A,,,,设计图
精灵腿环·华丽,215,4,袜套,S,,A,,A,,SS,,A,,,,进214
精灵腿环·珍稀,216,5,袜套,S,,A,,A,,SS,,S,,,,进215
兔子的最爱,217,4,袜子,,B,,B,,SS,,SS,,A,,,8-7公
兔子的最爱·华丽,218,5,袜子,A,,S,,,A,SS,,,S,,,进217
针织灰袜,219,3,袜子,,A,S,,S,,,A,,A,,,月签到奖励
折边短袜,220,3,袜子,,S,,A,,B,,S,B,,,,月签到奖励
塔罗,221,3,袜套,,A,S,,B,,S,,A,,民族风,,失落之匣
塔罗·华丽,222,4,袜套,,S,,S,A,,A,,A,,民族风,,进221/失落之匣
塔罗·珍稀,223,5,袜套,SS,,,A,A,,S,,S,,民族风,,进222
小清新,225,3,袜子,,A,,SS,,S,,B,,B,,,9-支2少
古典短袜·红,226,3,袜子,,B,SS,,,B,,A,,S,,,9-5少
古典短袜·蓝,227,3,袜子,,B,A,,,A,,S,,S,,,定226
甜度,228,2,袜子,,S,,A,,A,,B,,B,,,9-5公
甜度·华丽,229,3,袜子,,A,,S,,S,,A,,B,,,进228
甜度·珍稀,230,4,袜子,B,,,S,,S,,SS,,A,,,进229
科灵,231,4,袜子,,S,SS,,,A,,A,B,,未来系,,设计图
科灵·玫,232,4,袜子,,S,S,,,A,,A,A,,未来系,,定231
麻花袜·黑,233,3,袜子,,B,S,,S,,A,,A,,,,设计图
麻花袜·灰,234,3,袜子,,A,S,,SS,,B,,A,,,,定233
麻花袜·棕,235,3,袜子,,A,S,,S,,B,,A,,,,定233
刺客,236,4,袜子,,B,S,,A,,SS,,A,,侠客联盟,,设计图
刺客·华丽,237,5,袜子,S,,S,,A,,SS,,A,,侠客联盟,,进236
刺客大腿袜,238,5,袜子,SS,,A,,A,,SS,,A,,侠客联盟,,定237
军官手枪,243,4,袜套,SS,,A,,A,,S,,B,,军装,,成就
灰白高筒袜,244,4,袜子,S,,,S,,A,,B,,S,,,进245
灰白长条,245,3,袜子,B,,,S,,S,,A,,B,,,进246
灰白条,246,2,袜子,,B,,S,,S,,A,,B,,,设计图
美酒,247,4,袜子,SS,,B,,A,,S,,,A,欧式古典,,10-支2公
佳肴,248,4,袜子,S,,A,,A,,SS,,,A,欧式古典,,定247
童心相伴,249,5,袜子,A,,SS,,A,,SS,,S,,,,梦恋奇迹活动兑换
工艺长袜,250,4,袜子,A,,A,,SS,,S,,,A,,,兑换
工艺长袜·黑,251,4,袜子,A,,B,,S,,SS,,,A,,,定250
南瓜派对,253,5,袜子,A,,,SS,,SS,A,,,S,,,万圣节活动兑换
南瓜派对·绮夜,260,5,袜子,SS,,,A,,A,SS,,A,,,,定253
爱心条纹袜,261,4,袜子,A,,,B,,SS,,S,A,,,,元素重构
爱心条纹袜·华丽,262,5,袜子,S,,,S,,S,,A,,S,,,进261
爱心条纹袜·蓝,263,5,袜子,A,,,SS,,SS,,A,,A,,,定262
小溪流,239,4,袜子,A,,,A,,S,S,,,S,,,昼夜
甜美吊带,240,5,袜子,A,,,A,,SS,SS,,,A,,,昼夜
甜美吊带·蓝,241,5,袜子,A,,,A,,SS,S,,,S,,,定240
甜美吊带·妃,242,5,袜子,A,,,A,,SS,SS,,,S,,,定240
麦川条纹袜,264,3,袜子,A,,B,,,S,,S,A,,,,联盟梦幻工坊
墨纹,265,3,袜子,A,,S,,,A,,S,,A,,,联盟梦幻工坊
贵族长袜,266,4,袜子,B,,SS,,SS,,,A,,A,,,联盟小铺
胜利者,267,5,袜子,S,,SS,,SS,,,A,,A,,,进266
巧克力长袜,269,4,袜子,A,,S,,SS,,,A,,A,,,店
巧克力长袜·棕,270,4,袜子,A,,A,,S,,S,,,A,,,定269
