,基础属性部分,,,,,,,,,,,,,,,
名称,NO.,心级,,华丽,简约,优雅,活泼,成熟,可爱,性感,清纯,清凉,保暖,标签,标签,获取途径
馨朵·白,001,2,,,A,,A,C,,S,,A,,,,店/迷
馨朵·粉,002,2,,,S,,A,,C,A,,A,,,,定001
馨朵·蓝,003,2,,,SS,C,,C,,A,,S,,,,定001
熟韵女郎,004,3,,,S,S,,S,,A,,A,,防晒,,店/迷/幻
空翼·蓝,005,3,,,S,,A,,A,A,,S,,,,店/迷/幻
空翼·白,006,3,,,S,,C,,S,S,,S,,,,定005
萝蔓·蓝,007,2,,,S,,B,,A,S,,A,,,,1-7少/8-7少
萝蔓·粉,008,2,,,B,,A,,A,A,,A,,,,定007
萝蔓·白,009,2,,,A,,A,,B,A,,A,,,,定007
蓝贞·上衣,010,3,,A,,,A,,A,,A,S,,洛丽塔,,vip
樱宁·上衣,011,2,,A,,A,,,A,,A,A,,洛丽塔,,设计图
小飞侠·背心,012,2,,A,,,A,,S,,A,A,,洛丽塔,,迷
夏蝉上衣·粉,013,3,,A,,,A,,S,,S,A,,洛丽塔,,设计图
夏蝉上衣·黄,014,3,,A,,,A,,A,,S,A,,洛丽塔,,定013
夏蝉上衣·蓝,015,3,,S,,,A,,S,,A,A,,洛丽塔,,定013
甜心骑士·上衣,016,4,,S,,A,,,S,,A,S,,洛丽塔,,迷/幻
水手服,017,4,,,A,,S,,S,A,,S,,学院系,,设计图
兔子兜·粉,018,4,,S,,,S,,S,,A,,S,小动物,防晒,设计图/过关有礼
兔子兜·白,019,4,,S,,,A,,S,,A,,A,小动物,防晒,定018
兔子兜·紫,020,4,,S,,,A,,S,,S,,A,小动物,防晒,定018
小樱桃·粉,022,3,,A,,,A,,S,S,,A,,,,设计图
小樱桃·米,023,3,,S,,,S,,S,A,,A,,,,定022
小樱桃·紫,024,3,,A,,,S,,S,B,,A,,,,定022
魅影,025,3,,S,,,B,,B,S,,A,,防晒,,迷/幻
风情·白,029,1,,,A,A,,,B,C,,,A,,,店/迷/304-3少/1-6少
风情·黑,030,1,,,A,B,,,C,A,,,B,,,定029
记者的衣橱·蓝,031,2,,,S,,B,,B,,B,S,,中性风,牛仔布,店/迷/1-1少
记者的衣橱·绿,032,2,,,SS,,B,,B,,C,S,,中性风,牛仔布,定031
记者的衣橱·黑,033,2,,,A,B,,B,,A,,A,,中性风,牛仔布,定031
记者的衣橱·白,034,2,,,A,A,,A,,,B,A,,中性风,牛仔布,定031
OL的衬衫·白,035,2,,,A,A,,A,,A,,B,,中性风,OL,店/迷/2-4少
OL的衬衫·蓝,036,2,,,A,S,,B,,B,,B,,中性风,OL,定035
OL的衬衫·黑,037,2,,,A,A,,B,,B,,A,,中性风,OL,定035
OL的衬衫·米,038,2,,,A,A,,A,,B,,A,,中性风,OL,定035
中学生,039,2,,,A,A,,,B,,A,A,,中性风,英伦,店/迷
个性学生,040,2,,,A,A,,B,,,A,A,,中性风,英伦,定039
学生主席,041,2,,,S,A,,A,,,S,B,,中性风,英伦,定039
文明起源·白,042,3,,,S,C,,S,,,A,,S,中性风,,设计图
文明起源·棕,043,3,,,S,A,,,A,,A,,A,中性风,,定042
蓝色警魂,044,3,,,S,,S,B,,A,,S,,中性风,,幻
射线·白,045,3,,,SS,S,,B,,,C,S,,OL,,设计图
射线·紫,046,3,,,S,S,,C,,A,,A,,OL,,定045
图书馆·粉,047,2,,,B,,A,,A,,S,A,,中性风,防晒,店/迷/4-0少/10-4少
图书馆·红,048,2,,,B,,S,B,,,S,,S,中性风,防晒,定047
图书馆·蓝,049,2,,,B,,A,C,,,S,,S,中性风,防晒,定047
NIKKI衫·黑,051,2,,,S,,A,B,,,A,A,,运动系,,设计图/4-2少
NIKKI衫·粉,053,2,,,A,,S,,B,,A,A,,运动系,,定051
